Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català,Espal_NSYL,Espal_IMG,Espal_NLET,Espal_CON,Espal_FAM,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects,COCA_full freq Eng,Clearpond_wordLength_orthographic_Eng,Clearpond_Lexical_Frequency_Eng,MRC Concreteness,MRC Familiarity,MRC Imigability,MRC N_of_Letters,MRC N_of_Syllables,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
51.0,Probe List,kitchen item,0.0,napkin,servilleta,tovalló,4.0,6.286,10.0,6.678,6.678,4.0625,2354.0,3618.0,6.0,3.6078,NA,NA,NA,10.0,2.0,3.0,7.0,3.18026,163.0
52.0,Probe List,tools,0.0,axe,hacha,destral,2.0,6.043,5.0,6.347,6.347,8.149,4570.0,3785.0,3.0,4.8824,623.0,461.0,597.0,5.0,1.0,2.0,7.0,9.91149,508.0
53.0,Probe List,household item,1.0,blinds,persianas,persianes,3.0,2.0,9.0,2.0,2.0,2.0913,1825.0,2596.0,6.0,2.1373,NA,NA,NA,9.0,NA,4.0,9.0,3.6095,185.0
54.0,Probe List,games,0.0,swing ,columpio,gronxador,3.0,2.0,8.0,2.0,2.0,1.5625,1210.0,NA,6.0,NA,NA,NA,NA,8.0,1.0,3.0,9.0,0.7219,37.0
55.0,Probe List,clothing,0.0,diaper,pañal,bolquer,2.0,2.0,5.0,2.0,2.0,3.9183,4284.0,3582.0,6.0,4.2745,NA,NA,NA,5.0,3.0,2.0,7.0,0.526792,27.0
56.0,Probe List,animal,0.0,beehive,colmena,rusc,3.0,2.0,7.0,2.0,2.0,2.0673,2894.0,772.0,7.0,0.86275,611.0,398.0,572.0,7.0,2.0,1.0,4.0,2.79004,143.0
57.0,Probe List,accessory,0.0,glasses,gafas/espejuelos/lentes/anteojos,ulleres,3.0,4.96775,7.25,5.044499999999999,5.044499999999999,NA,NA,23502.0,7.0,33.1176,NA,NA,NA,7.25,NA,3.0,7.0,17.4427,894.0
59.0,Probe List,food/nuts,0.0,acorn,bellota,gla,3.0,2.0,7.0,2.0,2.0,NA,649.0,2418.0,5.0,0.72549,0.0,397.0,NA,7.0,2.0,1.0,3.0,0.995051,51.0
61.0,Probe List,food,0.0,egg,huevos,ous,2.0,2.0,6.0,2.0,2.0,45.0721,47971.0,26188.0,3.0,26.0392,613.0,608.0,599.0,6.0,1.0,1.0,3.0,43.8798,2249.0
63.0,Probe List,food/veg,0.0,carrot,zanahoria,pastanaga,4.0,6.477,9.0,6.667,6.667,3.2692,7621.0,4377.0,6.0,3.8235,622.0,539.0,577.0,9.0,2.0,4.0,9.0,2.90711,149.0
